		count	min	q5	q25	q50	q75	q95	max
University Hospital Basel, Clinical Bacteriology	2021-24	129	9	13	18	94	158	218	218
University Hospital Basel, Clinical Bacteriology	2021-25	60	10	10	13	20	54	64	164
University Hospital Basel, Clinical Bacteriology	2021-26	30	9	9	13	17	38	77	106
University Hospital Basel, Clinical Bacteriology	2021-27	31	13	14	157	160	164	165	166
University Hospital Basel, Clinical Bacteriology	2021-28	24	12	14	23	194	205	233	234
University Hospital Basel, Clinical Bacteriology	2021-29	40	7	10	12	16	199	199	203
University Hospital Basel, Clinical Bacteriology	2021-30	48	5	5	12	14	20	142	206
University Hospital Basel, Clinical Bacteriology	2021-31	175	8	9	11	13	17	22	23
University Hospital Basel, Clinical Bacteriology	2021-32	131	4	4	6	12	13	16	268
University Hospital Basel, Clinical Bacteriology	2021-33	200	9	11	13	15	18	20	231
University Hospital Basel, Clinical Bacteriology	2021-34	187	10	12	14	15	18	228	228
University Hospital Basel, Clinical Bacteriology	2021-35	48	13	13	13	16	18	21	24
University Hospital Basel, Clinical Bacteriology	2021-37	89	25	26	26	28	33	43	43
University Hospital Basel, Clinical Bacteriology	2021-38	486	7	9	16	21	29	42	52
University Hospital Basel, Clinical Bacteriology	2021-39	112	7	8	9	11	14	17	24
University Hospital Basel, Clinical Bacteriology	2021-40	94	7	7	9	12	14	16	79
University Hospital Basel, Clinical Bacteriology	2021-41	31	5	5	11	14	18	58	58
University Hospital Basel, Clinical Bacteriology	2021-42	181	6	7	11	13	16	32	59
University Hospital Basel, Clinical Bacteriology	2021-43	105	5	5	7	10	12	17	76
University Hospital Basel, Clinical Bacteriology	2021-44	169	6	10	12	15	69	72	88
University Hospital Basel, Clinical Bacteriology	2021-45	126	8	8	9	10	11	21	95
Valais Hospital, Central Institute	2021-22	180	7	8	11	14	17	21	23
Valais Hospital, Central Institute	2021-24	53	11	11	14	15	16	17	18
Valais Hospital, Central Institute	2021-25	31	11	11	13	15	16	17	20
Valais Hospital, Central Institute	2021-26	21	14	14	15	17	18	19	19
Valais Hospital, Central Institute	2021-29	52	12	12	15	18	20	33	34
Valais Hospital, Central Institute	2021-32	60	19	19	21	22	24	26	37
Valais Hospital, Central Institute	2021-34	296	13	15	18	26	35	46	60
Valais Hospital, Central Institute	2021-35	179	8	8	11	16	19	21	22
Valais Hospital, Central Institute	2021-37	67	16	16	17	18	20	21	24
Valais Hospital, Central Institute	2021-38	124	13	13	14	16	33	34	35
Valais Hospital, Central Institute	2021-40	133	11	11	14	18	21	25	32
Valais Hospital, Central Institute	2021-41	32	17	18	18	18	20	22	23
Valais Hospital, Central Institute	2021-42	101	9	10	12	13	16	19	22
Valais Hospital, Central Institute	2021-43	72	8	8	9	11	12	15	17
Valais Hospital, Central Institute	2021-45	43	13	13	14	16	17	18	19
Valais Hospital, Central Institute, Sion and and the Health2030 Genome Center, Geneva	2021-21	93	25	25	25	25	25	25	25
Viollier AG	2021-14	2	22	22	22	22	23	23	23
Viollier AG	2021-15	6	8	8	9	10	11	11	11
Viollier AG	2021-16	28	10	10	13	15	17	24	44
Viollier AG	2021-17	30	5	6	8	12	18	32	53
Viollier AG	2021-18	55	13	13	13	14	15	16	33
Viollier AG	2021-19	70	8	8	12	13	15	16	21
Viollier AG	2021-20	120	3	5	8	10	13	16	21
Viollier AG	2021-22	145	4	5	7	9	12	15	25
